Name;ERD;OSB
700C  Ritchey Aero Road Pro centered holes (ERD is nipple contact dia + 3mm for nipples);602;0
700C  Ritchey Aero Road Pro OCR (ERD is nipple contact dia + 3mm for nipples);602;2.5
700C  Ritchey Aero Road WCS centered holes (ERD is nipple contact dia + 3mm for nipples);602;0
700C  Ritchey Aero Road WCS OCR (ERD is nipple contact dia + 3mm for nipples);602;2.5
700C  Ritchey Rock 450CE;610;0
700C  Ritchey Rock 490;610;0
700C  Ritchey Rock 490C;610;0
700C  Ritchey Rock 700 Pro (ERD is Nipple Seat Dia + 3mm for nipples);605;0
700C  Ritchey Trekking Comp;596;0
700C  Ritchey Trekking Comp OCR;594;2.5
700C  Ritchey Vantage Comp;611;0
700C  Ritchey Vantage Cross-Sport ;612;0
700C  Rolf Sestriere;595;0
700C  Rolf Vector;595;0
700C  Rolf Vector Comp, Trek made;580;0
700C  Rolf Vector Pro, Araya made. For Greer internal nipples + 4mm washers;604.1;0
700C  Rolf Vector Pro, Trek made. For Greer internal nipples, no washers;598;0
700C  Salsa Delgado Cross 22.5w x 18h;604;0
700C  Specialized C20;614;0
700C  Specialized C22;614;0
700C  Specialized HC19;614;0
700C  Specialized HC20;614;0
700C  Sun 0 degree XC;607;0
700C  Sun Ascent;603;0
700C  Sun AT18 ;612;0
700C  Sun Buzz Clincher (carbon, alu brake track);528;0
700C  Sun CR16;610;0
700C  Sun CR17A;607;0
700C  Sun CR18, single eyelets;612;0
700C  Sun CR20 ;608;0
700C  Sun CRE16;609;0
700C  Sun CRT16II;609;0
700C  Sun L13;611;0
700C  Sun L17;612;0
700C  Sun L18;612;0
700C  Sun L20;612;0
700C  Sun L25;612;0
700C  Sun M13;610;0
700C  Sun M13II;610;0
700C  Sun M13L ;612;0
700C  Sun M14A;603;0
700C  Sun M14A (old);606;0
700C  Sun M17;612;0
700C  Sun M20;611;0
700C  Sun M20B ;612;0
700C  Sun M25;612;0
700C  Sun M25 ;612;0
700C  Sun ME14A;601;0
700C  Sun Rhyno ;603;0
700C  Sun Rhyno Lite (newer version);612;0
700C  Sun SST20;603;0
700C  Sun Venus (medium deep aero);592;0
700C  Torelli Master;606;0
700C  Torelli Master, new style;611;0
700C  Velocity Aero (20mm wide x 21mm deep);596;0
