Name;dL;WL;dR;WR
Nashbar Fixed-Fixed Flip-Flop rear hub NF-GHR;62;31;62;31
NC 17 disc;60;21.5;60;33.9
NC 17 disc;60;31.7;60;18.2
NC 17 disc DH;60;21.5;60;33.9
Nicolai Nucleon NC 17 95mm 20mm through axle;60;19;60;36
Normandy high flange;63;33.7;63;33.7
Normandy high flange;63;39;63;19
Normandy high flange respaced to 126mm;63;42;63;16
Nuke Proof;31;35.25;31;35.25
Nuke Proof ;32;45;43.1;20
Nuke Proof ;32;43;43.1;22
Nuke Proof ;32;41;43.1;25
Nuke Proof ;32;36.5;32;36.5
Nuke Proof Bombshell cassette ;47;42;47;19.5
Nuke Proof Bombshell cassette ;47;41;47;21
Nuke Proof Bombshell, post '95;47;38;47;38
Nuke Proof Bombshell, pre '95;42.2;34;42.2;34
Nuke Proof XT cassette ;32;45;47.3;20
Nuke Proof XT cassette ;32;43;47.3;22
Nuke Proof XT cassette ;32;40;47.3;25
Nuke Proof XTR cassette ;32;38.5;47.5;20
Nuke Proof XTR cassette ;32;38.5;47.3;21
Nuke Proof, older models;32;33;32;33
On-one 120mm Double Fixed;46;27;46;27
Pace carbon sealed ;44.5;32;44.5;32
Pace carbon sealed ;44.5;38;44.5;22.5
Paul Components ;43;36;43;36
Phil Wood Cassette;55;35;55;22
Phil Wood Cross Country ;57.5;27.8;57.5;27.8
Phil Wood Field Serviceable ;48.5;34.5;48.5;34.5
Phil Wood Field Serviceable ;48.5;37.6;48.5;19.4
Phil Wood Field Serviceable ;48.5;34.9;48.5;22.1
Phil Wood Field Serviceable ;48.5;32.4;48.5;24.6
Phil Wood Field Serviceable ;48.5;39;48.5;18
Phil Wood Hi right hand flange;48.5;38;69;19
Phil Wood Hi right hand flange;48.5;36.6;69;20.4
Phil Wood medium original ;48.5;34.5;48.5;34.5
Phil Wood medium original ;48.5;38;48.5;19
Phil Wood medium original ;48.5;31;48.5;26
Phil Wood Mid ;48.5;38;57.5;19
Phil Wood Mid ;48.5;36;57.5;21
Phil Wood MTB 6speed ;57.5;36.7;48.2;20.3
Phil Wood MTB 6speed ;57.5;34.2;48.2;22.8
Phil Wood MTB 6speed ;57.5;31.7;48.2;25.3
Phil Wood MTB 7speed ;57.5;37.5;48.2;19.5
Phil Wood MTB 7speed ;57.5;35.7;48.2;21.3
Phil Wood MTB 7speed ;57.5;33.2;48.2;23.8
Phil Wood MTB 7speed ;57.5;30.7;48.2;26.3
Phil Wood MTB 8speed ;57.5;39;48.2;18
Phil Wood MTB 8speed ;57.5;38.2;48.2;18.8
Phil Wood MTB 8speed ;58.5;35.7;49.2;21.3
Phil Wood road 5speed ;48.2;34.2;48.2;22.8
Phil Wood road 5speed ;48.2;31.7;48.2;25.3
Phil Wood road 6speed ;48.2;36.7;48.2;20.3
Phil Wood road 6speed ;48.2;34.2;48.2;22.8
Phil Wood road 6speed ;48.2;31.7;48.2;25.3
